Split,Accuracy,Positive Precision,Positive Recall,Negative Precision,Negative Recall,Positive F1,Negative F1,Macro F1,Micro F1,Weighted F1
Train,0.7881711885571574,0.0,0.0,0.7881711885571574,1.0,0.0,0.8815388522092432,0.4407694261046216,0.7881711885571574,0.6948035249050717
Dev,0.7880714501967908,0.0,0.0,0.7880714501967908,1.0,0.0,0.8814764646122587,0.44073823230612935,0.7880714501967908,0.6946664357813228
Test,0.788135593220339,0.0,0.0,0.788135593220339,1.0,0.0,0.8815165876777251,0.44075829383886256,0.788135593220339,0.6947545987629529
